id,name,url,slugintern,flattrhandle,twitterhandle,hoersuppeslug,feedurl,artistname,created_at,updated_at,description
1,Hoersuppe,http://hoersuppe.de/,hoersuppe,eazyliving,@hoersuppe,,http://hoersuppe.de/vcmp3/,@hoersuppe,2013-03-08 13:07:15 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
2,Wikigeeks,http://wikigeeks.de/,wikigeeks,wikigeeks,@wikigeeks_de,wikigeeks,http://www.wikigeeks.de/feed/mp3,@wikigeeks_de,2013-03-08 14:01:12 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
3,Luftpost Podcast,http://luftpost-podcast.de/,luftpost,danielbuechele,@luftpostpodcast,luftpost,http://luftpost-podcast.de/feed/podcast,@luftpostpodcast,2013-03-08 14:20:33 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
4,Nettes Frettchen,http://nettesfrettchen.podcaster.de/,nettesfrettchen,,@uwebaltner,,http://nettesfrettchen.podcaster.de/feedburner.rss,@uwebaltner,2013-03-09 15:58:27 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
5,Fressefreiheit,http://www.denkdreck.de/,fressefreiheit,linamadita,@fressefreiheit1,fressefreiheit,http://www.denkdreck.de/?cat=321&feed=rss2,@fressefreiheit1,2013-03-09 15:58:27 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
6,Podsafe Metal Pilot,http://www.podsafepilot.com/,podsafemetalpilot,podsafepilot,@podsafepilot,,http://www.podsafepilot.com/?feed=podsafe-metal-pilot,@podsafepilot,2013-03-09 15:58:27 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
7,Binärgewitter,http://blog.binaergewitter.de/,binaergewitter,binaergewitter,@binaergewitter,binaergewitter,http://feeds.feedburner.com/binaergewitter-podcast,@binaergewitter,2013-03-09 15:58:27 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
8,Radio Tux,http://www.radiotux.de/,radiotux,radiotux,@radiotux,radiotux,http://prometheus.radiotux.de/index.php?/feeds/index.rss2,@radiotux,2013-03-09 15:58:27 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
9,Teezeit Talkradio,http://www.teezeit.org/,teezeit,netzzwerk,@teezeitpodcasts,teezeit,http://teezeit.org/feed/mp3/,@teezeitpodcasts,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
10,keins3itensprungc4st,http://julp.moepmoep.com/podcasts/keins3itensprungc4st/,keins3itensprungc4st,julp83,,keins3itensprungc4st,http://julp.moepmoep.com/category/keins3itensprungc4st/feed/,keins3itensprungc4st,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
11,Jobscast,http://www.jobscast.de/,jobscast,danielautenrieth,@dautenrieth,jobscast,http://jobscast.de/?feed=podcast,@dautenrieth,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
12,Schachcast,http://schachcast.moepmoep.com/,schachcast,schachcast,@schachcast,schachcast,http://schachcast.moepmoep.com/category/podcast/schachcast/feed/,@schachcast,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
13,Sunday Moaning,http://fracker.moepmoep.com/podcast-2/sunday-moaning/,sundaymoaning,frjbd,@sundaymoanin,sunday-moaning,http://fracker.moepmoep.com/category/podcasts/sundaymoaning/feed/,@sundaymoanin,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
14,Gala Noir,http://fracker.moepmoep.com/podcast-2/galanoir/,galanoir,frjbd,@galanoircast,,http://fracker.moepmoep.com/category/podcasts/galanoir/feed/,@galanoircast,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
15,podCCast,http://www.podccast.de/,podccast,,@podccast,,http://feeds.feedburner.com/podccast-standard,@podccast,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
16,Brüllaffencouch,http://www.bruellaffencouch.de/,bruellaffencouch,germanstudent,@bruellaffen,brullaffen,http://www.bruellaffencouch.de/feed/podcast/,@bruellaffen,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
17,Kauderwelsch Avantgarde,http://www.kauderwelschavantgarde.de/,kauderwelschavantgarde,germanstudent,@kw_avantgarde,kauderwelsch-avantgarde,http://feeds.feedburner.com/kauderwelschavantgardepodcast,@kw_avantgarde,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
18,111 Sekunden Apps,http://www.111sekundenapps.de/,111sekunden,,@111sekundenapps,,http://feeds.feedburner.com/111SekundenApps,@111sekundenapps,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
19,KNORKPod,http://knorkpod.moepmoep.com/,knorkpod,knorkpod,@knorkpod,knorkpod,http://knorkpod.moepmoep.com/feed/,@knorkpod,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
20,anyca.st,http://anyca.st/,anycast,anycast,@anycast,anycast,http://anyca.st/feed/mp3,@anycast,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
21,Comichöhle,http://www.comichoehle.de/,comichoehle,comichoehle,@comichoehle,,http://www.comichoehle.de/category/episode/feed/,@comichoehle,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
22,Hobbykoch Podcast,http://www.hobbykoch-podcast.de/,hobbykoch,hobbykoch,@hobbykochpod,hobbykoch,http://feeds.feedburner.com/Hobbykoch_Podcast,@hobbykochpod,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
23,Compod,http://www.compyblog.de/,compod,,@compod,compod,http://www.compyblog.de/feeds/categories/14-Podcast.rss,@compod,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
24,Dirty Minutes Left,http://www.dirtyminutesleft.de/,dirtyminutesleft,codenaga,@dml_podcast,dirty-minutes-left,http://www.dirtyminutesleft.de/feed/dmlmp3/,@dml_podcast,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
25,Incerio Podcast,http://www.incerio.de/,incerio,addiscovideo,@inceriopodcast,incerio,http://www.incerio.de/category/podcast/feed/,@inceriopodcast,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
26,Collaborativerockers,http://www.collaborativerockers.de/,collaborativerockers,matthiasfromm,@collabrockers,collaborative-rockers,http://www.collaborativerockers.de/downloads/cr/cr-podcast.xml,@collabrockers,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
27,Explorism,http://www.scientists-in-progress.org/,explorism,matthiasfromm,@explorism,explorism,http://www.scientists-in-progress.org/downloads/rss/Explorism-podcast.xml,@explorism,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
28,Transiente Sichten,http://www.transiente-sichten.de/,transiente-sichten,matthiasfromm,@transientesicht,transiente-sichten,http://www.transiente-sichten.de/downloads/rss/TransienteSichten-podcast.xml,@transientesicht,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
29,Schöne Ecken,http://www.schoene-ecken.de/,schoeneecken,ckater,@schoeneecken,schoene-ecken,http://www.schoene-ecken.de/feed/mp3/,@schoeneecken,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
30,toheselue,http://podcast.toheselue.com/,toheselue,toheselue,@toheselue,,http://audioboo.fm/users/3249/boos.rss,@toheselue,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
